date,deaths,epi,route,time,url
2016-12-08,13,"Un bus interprovincial, que cubría la ruta Tulcán-Quito rodó a un precipicio de aproximadamente 100 metros de profundidad, en la carretera Panamericana Norte, a la altura del sector de Oyacoto, en el km. 6.",Tulcán-Quito,16:30:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/accidente-abismo-oyacoto-muerte-pullmancarchi.html"">Un bus cayó a la quebrada en Oyacoto; hay 13 fallecidos y 21 heridos</a>"
2016-12-08,14,"La Universidad Técnica del Norte (UTN), de la ciudad de Ibarra, provincia de Imbabura, situada en el norte de Ecuador, está de luto.",,16:30:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/profesoras-universidad-ibarra-muerte-oyacoto.html"">Tres profesoras de la Universidad Técnica del Norte, de Ibarra, fallecieron en accidente de Oyacoto</a>"
2017-01-03,1,"Un bus de transporte interprovincial se accidentó en el kilómetro 30 de la vía Ambato-Guaranda (Sierra centro del Ecuador ) hoy, martes 3 de enero del 2017. Según el Sistema de Seguridad ECU 911 de Ambato, el volcamiento de la unidad ocurrió a las 03:45.",vía Ambato-Guaranda,03:45:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/bus-volcamiento-via-ambato-guaranda.html"">34 heridos y un fallecido en el volcamiento de un bus vía a Guaranda</a>"
2017-01-14,20,"Los miembros de la congregación católica Santa Faz de Guayaquil jamás llegaron a su destino. Como ya era costumbre, cada dos meses los feligreses contrataban un bus, de un vecino del sector, para acudir a las convivencias espirituales fuera de la ciudad.",cruce de la vía Yaguachi-Milagro,19:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/accidente-milagro-muertos-heridos-ventanas.html"">Accidente en Milagro dejó 20 fallecidos</a>"
2017-01-21,1,"En la madruga de este sábado 21 de enero de 2017, un bus interprovincial se accidentó en el kilómetro 90 de la Vía Alóag- Santo Domingo, sector Peaje. Los 22 pasajeros que viajaban en la unidad resultaron ilesos , según informó en un comunicado el ECU 911.",Vía Alóag- Santo Domingo,06:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/persona-muerte-accidente-bus-santodomingo.html"">Una persona falleció en un accidente de bus interprovincial en la Vía Alóag - Santo Domingo</a>"
2017-02-04,3,"En la vía Shushufindi - Coca, nororiente de Ecuador, se registró un accidente de tránsito la madrugada de este 4 de febrero del 2017. Según información del Sistema de Seguridad Ecu 911, un bus de transporte interprovicial se impactó con una camioneta.",Shushufindi - Coca,02:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/personas-fallecidas-accidente-shushufindi-ecu911.html"">Tres personas fallecieron en un accidente en la vía Shushufindi - Coca</a>"
2017-02-06,1,"Hasta el mediodía de hoy, lunes 6 de febrero de 2017, el Ecu 911 reportó tres accidentes de tránsito en Quito. En uno de ellos, un hombre falleció mientras intentaba reparar un bus, en el sector de la Morita II, en el nororiente de la ciudad.",,12:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/accidente-muerte-quito-frenos-bus.html"">Un hombre falleció mientras reparaba los frenos de su bus</a>"
2017-02-20,3,"Un accidente de tránsito dejó tres personas fallecidas en la vía Alóag-Santo Domingo la noche del lunes 20 de febrero de 2017. Según la información proporcionada por el ECU 911 Quito, el accidente se dio entre un bus y una camioneta.",vía Alóag-Santo Domingo,20:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/fallecidos-heridos-mejia-bus-ecu911.html"">Tres fallecidos y 17 personas heridas dejó un accidente de tránsito en Mejía</a>"
2017-03-03,1,"Un muerto, tres heridos de gravedad y 13 lesionados leves fue el resultado del volcamiento de un bus de transporte interprovincial este viernes 3 de marzo del 2017. La unidad de transporte de servicio público cumplía la ruta entre las ciudades de Riobamba, en Chimborazo, con Baños de Agua Santa, en la provincia de Tungurahua.",,13:30:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/bus-transporteinterprovincial-volcamiento-accidente-ambato.html"">Un muerto y tres heridos de gravedad causó el volcamiento de un bus interprovincial en Tungurahua</a>"
2017-03-26,1,"Un bus cayó a un abismo en el cantón Sigchos, en el sector de Guangocalle, en la provincia de Cotopaxi.",,05:21:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/bus-abismo-cantonsigchos-cotopaxi-muerte.html"">Un bus cayó a un barranco en el cantón Sigchos; una persona falleció</a>"
